SampleID	Population
AMR___CLM___HG01345	American
AMR___CLM___HG01348	American
AMR___CLM___HG01350	American
AMR___CLM___HG01351	American
AMR___CLM___HG01353	American
AMR___CLM___HG01354	American
AMR___CLM___HG01356	American
AMR___CLM___HG01357	American
AMR___CLM___HG01359	American
AMR___CLM___HG01360	American
AMR___CLM___HG01362	American
AMR___CLM___HG01363	American
AMR___CLM___HG01365	American
AMR___CLM___HG01366	American
AMR___CLM___HG01369	American
AMR___CLM___HG01372	American
AMR___CLM___HG01374	American
AMR___CLM___HG01375	American
AMR___CLM___HG01377	American
AMR___CLM___HG01378	American
AMR___CLM___HG01383	American
AMR___CLM___HG01384	American
AMR___CLM___HG01389	American
AMR___CLM___HG01390	American
AMR___CLM___HG01431	American
AMR___CLM___HG01432	American
AMR___CLM___HG01435	American
AMR___CLM___HG01437	American
AMR___CLM___HG01438	American
AMR___CLM___HG01440	American
AMR___CLM___HG01441	American
AMR___CLM___HG01443	American
AMR___CLM___HG01444	American
AMR___CLM___HG01447	American
AMR___CLM___HG01455	American
AMR___CLM___HG01456	American
AMR___CLM___HG01459	American
AMR___CLM___HG01461	American
AMR___CLM___HG01462	American
AMR___CLM___HG01464	American
AMR___CLM___HG01465	American
AMR___CLM___HG01468	American
AMR___CLM___HG01471	American
AMR___CLM___HG01474	American
AMR___CLM___HG01479	American
AMR___CLM___HG01485	American
AMR___CLM___HG01486	American
AMR___CLM___HG01488	American
AMR___CLM___HG01489	American
AMR___CLM___HG01491	American
AMR___CLM___HG01492	American
AMR___CLM___HG01494	American
AMR___CLM___HG01495	American
AMR___CLM___HG01497	American
AMR___CLM___HG01498	American
AMR___CLM___HG01550	American
AMR___CLM___HG01551	American
AMR___CLM___HG01556	American
AMR___MXL___NA19648	American
AMR___MXL___NA19649	American
AMR___MXL___NA19651	American
AMR___MXL___NA19652	American
AMR___MXL___NA19654	American
AMR___MXL___NA19655	American
AMR___MXL___NA19657	American
AMR___MXL___NA19658	American
AMR___MXL___NA19661	American
AMR___MXL___NA19663	American
AMR___MXL___NA19664	American
AMR___MXL___NA19669	American
AMR___MXL___NA19670	American
AMR___MXL___NA19676	American
AMR___MXL___NA19678	American
AMR___MXL___NA19679	American
AMR___MXL___NA19681	American
AMR___MXL___NA19682	American
AMR___MXL___NA19684	American
AMR___MXL___NA19716	American
AMR___MXL___NA19717	American
AMR___MXL___NA19719	American
AMR___MXL___NA19720	American
